OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y
4232,"מסעדת אבו שוקרי, הגיא, ירושלים",,4/3/2020,12:00-14:00,מיקום חולה,35.23300000000006,31.779000000000053
4215,שופרסל דיל קניון מעלה אדומים.,,4/3/2020,12:00-13:00,מיקום חולה,35.299000000000035,31.772000000000048
4164,"מוריסטן, ירושלים ","מסעדה, גן מוריסטן",4/3/2020,12:30-13:15,מיקום חולה,35.23031860000003,31.777476900000067
4541,קניון סירקין,כפר השעשועים ושופרסל,4/3/2020,12:30-13:00,מיקום חולה,34.902483000000075,32.079845900000066
4308,"בית הספר ""ראשית"" רחוב דהומיי 6 ירושלים",כיתה ו' של המורה ענבל וכן כיתה ה' של המורה נועם,4/3/2020,12:50-14:50,מיקום חולה,35.165590000000066,31.75574000000006
4216,אייס קנה ובנה בקניון מעלה אדומים ,,4/3/2020,13:15-13:45,מיקום חולה,35.298261000000025,31.77194510000004
4195,מועדון כפרי משגב,מסעדת תבל,4/3/2020,13:30-14:20,מיקום חולה,35.259767500000066,32.860173400000065
4136,"הנגב 1, בית גולן, קריית שדה התעופה","חברת ""בקהוף ישראל""",4/3/2020,14:00-14:30,מיקום חולה,34.912000000000035,31.986000000000047
4169,"הנחושת 3, רמת החייל תל אביב ",בית קפה לנדוור,4/3/2020,14:30-16:00,מיקום חולה,34.838135100000045,32.109927500000026
4434,"מסעדת ""רנדוו"" ברחוב הכשרת הישוב 7 ראשון לציון",,4/3/2020,14:40-14:50,מיקום חולה,34.76694492800004,31.989799366000057
4196,מועדון כפרי משגב ,(המתנה בלבד בבריכה),4/3/2020,14:45-15:15,מיקום חולה,35.259767500000066,32.860173400000065
4148,"רמי לוי, קניון רב חן, ירושלים",,4/3/2020,15:00-16:00,מיקום חולה,35.20900000000006,31.752000000000063
4197,"מקדונלדס במדרחוב ,כרמיאל",,4/3/2020,15:30-16:00,מיקום חולה,35.29342900000006,32.908529000000044
4178,"עזרא 10, רחובות",דף רם,4/3/2020,15:55-16:10,מיקום חולה,34.81365380200003,31.891283635000036
4146,"סופרמרקט ""שימורי איכות"" המכתש 6 חולון",,4/3/2020,16:30-17:30,מיקום חולה,34.79606160000003,32.02727710000005
