סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
65        ,מגדל                     ,22        ,כנרת                     ,22        ,טבריה                    ,0         ,                         ,2082      ,193       ,440       ,751       ,221       ,225       ,252
66        ,מרחביה )קיבוץ(           ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1398      ,85        ,344       ,426       ,224       ,87        ,232
67        ,אור הנר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,37        ,שער הנגב                 ,943       ,88        ,213       ,337       ,117       ,62        ,126
69        ,ניר עוז                  ,62        ,באר שבע                  ,62        ,באר שבע                  ,38        ,אשכול                    ,492       ,49        ,98        ,158       ,53        ,33        ,101
70        ,אשדוד                    ,61        ,אשקלון                   ,69        ,אשדוד                    ,0         ,                         ,254992    ,21446     ,51504     ,84979     ,29257     ,23569     ,44237
71        ,אשבול                    ,62        ,באר שבע                  ,62        ,באר שבע                  ,42        ,מרחבים                   ,666       ,52        ,196       ,224       ,82        ,45        ,67
72        ,גן שמואל                 ,32        ,חדרה                     ,32        ,חדרה                     ,14        ,מנשה                     ,1227      ,95        ,205       ,371       ,166       ,103       ,287
74        ,עין הוד                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,698       ,42        ,139       ,206       ,114       ,83        ,114
76        ,כפר גלעדי                ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,768       ,44        ,130       ,240       ,127       ,46        ,181
77        ,איילת השחר               ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,1143      ,65        ,248       ,345       ,162       ,87        ,236
78        ,קרית ענבים               ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,405       ,24        ,67        ,121       ,71        ,43        ,79
79        ,דגניה ב'                 ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,811       ,52        ,165       ,241       ,130       ,65        ,158
